name,vacancy_rate,rental_stock,population,rental_pop,region,state
Eastlakes,1.77,58,6913.0,46.58,Botany Bay,New South Wales
Mascot,3.59,405,14771.0,42.07,Botany Bay,New South Wales
Petersham,2.48,112,8111.0,42.22,Inner West,New South Wales
Stanmore,1.85,69,7939.0,39.07,Inner West,New South Wales
Sydenham,0.86,34,10837.0,28.93,Brimbank,Victoria
Tempe,0.91,13,3554.0,23.39,Inner West,New South Wales
St Peters,0.57,8,3217.0,24.87,Norwood Payneham St Peters,South Australia
Marrickville,1.75,225,26592.0,39.47,Inner West,New South Wales
Darlinghurst,2.49,177,11316.0,45.46,Sydney,New South Wales
Erskineville,2.9,160,8016.0,43.27,Sydney,New South Wales
Alexandria,3.06,159,8269.0,43.17,Sydney,New South Wales
Glebe,1.99,141,11529.0,48.57,Sydney,New South Wales
Forest Lodge,3.25,99,4588.0,49.91,Sydney,New South Wales
Potts Point,3.22,175,9425.0,48.97,Sydney,New South Wales
Woolloomooloo,2.04,54,4010.0,55.09,Sydney,New South Wales
Surry Hills,2.87,284,16417.0,51.13,Sydney,New South Wales
Camperdown,2.72,166,10340.0,54.68,Sydney,New South Wales
Darlington,,0,3655.0,8.23,Mundaring,Western Australia
Chippendale,6.6,334,8615.0,59.85,Sydney,New South Wales
Pyrmont,2.58,174,12810.0,52.03,Sydney,New South Wales
Redfern,2.22,180,13216.0,50.59,Sydney,New South Wales
Rosebery,4.07,294,10112.0,36.13,Sydney,New South Wales
Beaconsfield,0.52,15,6718.0,14.55,Cardinia,Victoria
Millers Point,1.68,24,1481.0,28.85,Sydney,New South Wales
Haymarket,7.49,281,7355.0,53.68,Sydney,New South Wales
Ultimo,4.36,171,8841.0,57.74,Sydney,New South Wales
Waterloo,3.55,380,14619.0,58.47,Sydney,New South Wales
Zetland,6.28,588,10073.0,52.59,Sydney,New South Wales
Bondi,2.05,113,10045.0,45.43,Waverley,New South Wales
Tamarama,1.02,8,1628.0,35.73,Waverley,New South Wales
Bronte,1.55,48,6729.0,31.13,Waverley,New South Wales
Bondi Beach,2.28,165,11650.0,46.08,Waverley,New South Wales
North Bondi,1.82,75,9165.0,35.56,Waverley,New South Wales
Bondi Junction,2.53,139,9443.0,40.29,Waverley,New South Wales
Waverly,,0,55.0,,Upper Hunter Shire,New South Wales
Centennial Park,2.18,29,2373.0,47.53,Randwick,New South Wales
Dover Heights,0.93,14,3801.0,16.93,Waverley,New South Wales
Paddington,2.01,137,12912.0,37.59,Woollahra,New South Wales
Moore Park,,0,26.0,38.46,Sydney,New South Wales
Rose Bay,1.88,95,10053.0,37.64,Woollahra,New South Wales
Vaucluse,1.05,42,9340.0,22.28,Woollahra,New South Wales
Watsons Bay,0.73,3,848.0,25.52,Woollahra,New South Wales
Woollahra,1.65,65,7406.0,29.92,Woollahra,New South Wales
Bellevue Hill,1.64,82,10717.0,28.7,Woollahra,New South Wales
Double Bay,2.43,66,4643.0,33.13,Woollahra,New South Wales
Darling Point,1.76,46,4185.0,26.22,Woollahra,New South Wales
Kingsford,2.18,140,15486.0,48.88,Randwick,New South Wales
Maroubra,1.72,242,30690.0,36.93,Randwick,New South Wales
Randwick,1.81,265,29992.0,44.15,Randwick,New South Wales
Coogee,1.75,135,15210.0,44.95,Randwick,New South Wales
Clovelly,1.03,22,4736.0,33.38,Randwick,New South Wales
Malabar,0.58,9,5422.0,30.92,Randwick,New South Wales
La Perouse,1.81,3,401.0,43.33,Randwick,New South Wales
Matraville,0.9,37,9804.0,31.17,Randwick,New South Wales
Chifley,1.18,16,3237.0,28.0,Randwick,New South Wales
South Coogee,0.74,18,5507.0,44.75,Randwick,New South Wales
Bass Hill,0.84,28,9070.0,28.83,Canterbury-Bankstown,New South Wales
Georges Hall,0.56,18,9047.0,15.44,Canterbury-Bankstown,New South Wales
Chullora,,0,,,Canterbury-Bankstown,New South Wales
Condell Park,0.71,30,11570.0,23.6,Canterbury-Bankstown,New South Wales
Padstow,0.94,52,13307.0,27.09,Canterbury-Bankstown,New South Wales
Revesby,1.09,63,14183.0,31.02,Canterbury-Bankstown,New South Wales
Yagoona,0.95,65,18017.0,31.12,Canterbury-Bankstown,New South Wales
Birrong,0.64,7,3107.0,27.04,Canterbury-Bankstown,New South Wales
Bankstown,1.42,204,32115.0,41.6,Canterbury-Bankstown,New South Wales
Greenacre,0.73,63,24367.0,29.33,Canterbury-Bankstown,New South Wales
Milperra,0.47,7,3954.0,9.06,Canterbury-Bankstown,New South Wales
Picnic Point,0.38,9,6157.0,12.34,Canterbury-Bankstown,New South Wales
Belmore,1.78,105,12721.0,38.53,Canterbury-Bankstown,New South Wales
Belfield,0.92,21,6321.0,27.0,Canterbury-Bankstown,New South Wales
Punchbowl,0.35,1,463.0,36.36,Launceston,Tasmania
Roselands,1.59,75,11574.0,25.15,Canterbury-Bankstown,New South Wales
Lakemba,2.04,123,17019.0,50.47,Canterbury-Bankstown,New South Wales
Wiley Park,1.69,63,10126.0,50.7,Canterbury-Bankstown,New South Wales
Campsie,1.99,223,24538.0,47.73,Canterbury-Bankstown,New South Wales
Canterbury,0.71,23,8052.0,18.75,Boroondara,Victoria
Earlwood,1.07,75,17744.0,18.06,Canterbury-Bankstown,New South Wales
Kingsgrove,0.64,32,12452.0,23.0,Canterbury-Bankstown,New South Wales
Narwee,1.28,30,5621.0,37.35,Canterbury-Bankstown,New South Wales
Beverly Hills,0.97,39,10157.0,25.27,Georges River,New South Wales
Oatley,0.77,32,10487.0,18.8,Georges River,New South Wales
Hurstville Grove,0.62,6,2662.0,12.68,Georges River,New South Wales
Peakhurst,0.94,48,10542.0,21.65,Georges River,New South Wales
Lugarno,0.19,4,5609.0,8.34,Georges River,New South Wales
Riverwood,1.13,63,12094.0,47.98,Canterbury-Bankstown,New South Wales
South Hurstville,1.26,27,5137.0,25.5,Georges River,New South Wales
Blakehurst,0.52,14,6219.0,12.89,Georges River,New South Wales
Hurstville,1.94,281,29821.0,41.1,Georges River,New South Wales
Mortdale,1.26,59,10422.0,31.47,Georges River,New South Wales
Penshurst,1.3,67,12783.0,33.1,Georges River,New South Wales
Bardwell Park,0.58,5,2238.0,13.84,Rockdale,New South Wales
Kogarah,2.13,189,15121.0,44.22,Rockdale,New South Wales
Kogarah Bay,0.45,4,2027.0,11.99,Georges River,New South Wales
Carlton,4.22,629,18539.0,63.71,Melbourne,Victoria
Allawah,1.14,27,5705.0,42.01,Georges River,New South Wales
Monterey,1.41,29,4532.0,27.04,Rockdale,New South Wales
Brighton-le-Sands,1.67,69,8330.0,37.43,Rockdale,New South Wales
Kyeemagh,1.08,4,919.0,12.18,Rockdale,New South Wales
Rockdale,1.88,139,15534.0,41.22,Rockdale,New South Wales
Banksia,1.08,13,3387.0,18.51,Rockdale,New South Wales
Sans Souci,1.16,57,10301.0,22.03,Rockdale,New South Wales
Ramsgate,1.15,7,1116.0,28.15,Rockdale,New South Wales
Arncliffe,2.42,126,10588.0,35.93,Rockdale,New South Wales
Bardwell Valley,0.45,4,2320.0,16.12,Rockdale,New South Wales
Bexley,1.46,105,19727.0,23.67,Rockdale,New South Wales
Wolli Creek,4.05,241,6396.0,52.47,Rockdale,New South Wales
Concord,1.15,64,14528.0,22.17,Canada Bay,New South Wales
Mortlake,0.13,1,1373.0,17.15,Moyne,Victoria
Cabarita,0.24,2,1956.0,17.66,Canada Bay,New South Wales
Drummoyne,1.52,94,11946.0,31.64,Canada Bay,New South Wales
Rodd Point,0.94,5,1377.0,12.18,Canada Bay,New South Wales
Five Dock,1.47,64,9352.0,30.3,Canada Bay,New South Wales
Abbotsford,2.58,152,8188.0,48.16,Yarra,Victoria
Concord West,1.51,35,5913.0,19.97,Canada Bay,New South Wales
North Strathfield,1.55,30,4763.0,42.26,Canada Bay,New South Wales
Rhodes,5.21,363,11908.0,53.26,Canada Bay,New South Wales
Balmain,1.57,84,10449.0,36.36,Inner West,New South Wales
Lilyfield,0.81,28,7618.0,32.25,Inner West,New South Wales
Rozelle,1.51,67,8721.0,33.34,Inner West,New South Wales
Leichhardt,1.87,135,14627.0,35.05,Inner West,New South Wales
Ashbury,0.58,8,3327.0,10.59,Canterbury-Bankstown,New South Wales
Croydon Park,1.06,48,11015.0,29.22,Burwood,New South Wales
Enfield,0.93,26,5333.0,37.15,Port Adelaide Enfield,South Australia
Dulwich Hill,1.96,142,13713.0,39.11,Inner West,New South Wales
Lewisham,1.57,38,3163.0,37.84,Inner West,New South Wales
Haberfield,0.93,23,6451.0,17.14,Inner West,New South Wales
Homebush,3.88,209,7013.0,44.21,Strathfield,New South Wales
Strathfield South,1.49,35,3543.0,30.76,Strathfield,New South Wales
Ashfield,1.93,216,23842.0,45.65,Inner West,New South Wales
Croydon,0.77,104,26949.0,23.91,Maroondah,Victoria
Strathfield,2.02,211,25808.0,37.47,Strathfield,New South Wales
Lane Cove North,1.87,121,11440.0,39.13,Lane Cove,New South Wales
St Leonards,4.54,231,5494.0,53.56,Willoughby,New South Wales
Naremburn,1.33,37,5881.0,31.03,Willoughby,New South Wales
Artarmon,2.58,107,9519.0,44.91,Willoughby,New South Wales
Castle Cove,0.8,8,2558.0,11.73,Willoughby,New South Wales
Northbridge,1.09,26,6340.0,17.35,Willoughby,New South Wales
Chatswood,2.37,282,24910.0,41.43,Willoughby,New South Wales
Greenwich,1.22,31,5612.0,27.79,Lane Cove,New South Wales
Riverview,0.38,4,3353.0,9.18,Lane Cove,New South Wales
Lane Cove,1.72,101,10811.0,32.74,Lane Cove,New South Wales
Willoughby,1.6,52,6537.0,25.71,Willoughby,New South Wales
Asquith,1.93,54,3373.0,16.25,Hornsby,New South Wales
Mount Colah,1.03,30,7101.0,12.3,Hornsby,New South Wales
Berowra,0.36,6,4717.0,11.65,Hornsby,New South Wales
Brooklyn,1.18,14,1855.0,36.65,Brimbank,Victoria
Cowan,0.42,1,649.0,6.67,Hornsby,New South Wales
Normanhurst,0.77,17,5287.0,19.5,Hornsby,New South Wales
Thornleigh,0.8,27,8468.0,18.52,Hornsby,New South Wales
Westleigh,0.38,6,4461.0,6.57,Hornsby,New South Wales
Hornsby,1.53,157,22166.0,39.45,Hornsby,New South Wales
Waitara,2.16,87,5935.0,43.38,Hornsby,New South Wales
Gordon,1.53,59,7665.0,27.04,Ku-ring-gai,New South Wales
Killara,1.25,53,10568.0,21.92,Ku-ring-gai,New South Wales
Lindfield,1.56,72,9792.0,23.02,Ku-ring-gai,New South Wales
Roseville,1.76,71,10084.0,19.84,Ku-ring-gai,New South Wales
Pymble,1.38,65,11051.0,16.01,Ku-ring-gai,New South Wales
St Ives,0.8,57,17300.0,13.86,Ku-ring-gai,New South Wales
Turramurra,1.14,58,11922.0,17.06,Ku-ring-gai,New South Wales
Warrawee,1.53,18,2992.0,18.02,Ku-ring-gai,New South Wales
Cremorne,1.83,110,11227.0,38.28,North Sydney,New South Wales
Cammeray,1.4,51,7003.0,38.1,North Sydney,New South Wales
Crows Nest,2.16,65,4798.0,44.81,North Sydney,New South Wales
Waverton,1.29,21,3020.0,39.34,North Sydney,New South Wales
Neutral Bay,2.03,123,10485.0,44.35,North Sydney,New South Wales
Kirribilli,1.93,61,3821.0,47.79,North Sydney,New South Wales
North Sydney,2.71,177,7704.0,47.28,North Sydney,New South Wales
Lavender Bay,2.47,15,947.0,40.64,North Sydney,New South Wales
Mosman,1.3,180,28482.0,29.25,Mosman,New South Wales
Balgowlah,0.94,34,7961.0,27.78,Northern Beaches,New South Wales
Clontarf,0.79,5,1739.0,7.22,Northern Beaches,New South Wales
Seaforth,0.78,20,7141.0,14.46,Northern Beaches,New South Wales
Manly,1.59,141,15864.0,40.26,Northern Beaches,New South Wales
Fairlight,1.08,30,5843.0,29.38,Northern Beaches,New South Wales
Avalon,1.69,2,292.0,6.12,Greater Geelong,Victoria
Palm Beach,1.26,115,14655.0,33.56,Gold Coast,Queensland
Bayview,0.17,3,3621.0,16.44,Northern Beaches,New South Wales
Elanora Heights,0.5,8,4354.0,10.53,Northern Beaches,New South Wales
Newport,0.95,56,12916.0,25.26,Hobsons Bay,Victoria
Mona Vale,0.64,29,10672.0,19.28,Northern Beaches,New South Wales
North Narrabeen,0.37,9,5853.0,15.36,Northern Beaches,New South Wales
Beacon Hill,0.31,8,7459.0,12.22,Northern Beaches,New South Wales
Narraweena,0.64,17,6610.0,29.21,Northern Beaches,New South Wales
Cromer,0.39,12,7593.0,15.9,Northern Beaches,New South Wales
Forestville,0.65,21,8329.0,19.04,Northern Beaches,New South Wales
Killarney Heights,0.73,11,4467.0,10.74,Northern Beaches,New South Wales
Freshwater,0.91,37,8864.0,32.63,Northern Beaches,New South Wales
Brookvale,0.55,9,3158.0,38.35,Northern Beaches,New South Wales
Manly Vale,0.88,25,6160.0,35.16,Northern Beaches,New South Wales
Allambie Heights,0.56,15,7006.0,16.77,Northern Beaches,New South Wales
Terrey Hills,0.28,3,3037.0,14.0,Northern Beaches,New South Wales
Duffys Forest,0.61,1,480.0,10.88,Northern Beaches,New South Wales
Belrose,0.64,22,8776.0,9.94,Northern Beaches,New South Wales
Collaroy,0.94,32,7870.0,27.06,Northern Beaches,New South Wales
Collaroy Plateau,0.57,9,4767.0,9.76,Northern Beaches,New South Wales
North Curl Curl,0.51,7,4116.0,15.29,Northern Beaches,New South Wales
Dee Why,1.02,119,21520.0,40.5,Northern Beaches,New South Wales
Frenchs Forest,0.6,29,13474.0,12.27,Northern Beaches,New South Wales
Oxford Falls,,0,140.0,9.3,Northern Beaches,New South Wales
Narrabeen,1.01,44,8207.0,36.92,Northern Beaches,New South Wales
Wheeler Heights,0.56,6,2992.0,10.18,Northern Beaches,New South Wales
Camden,1.13,17,3225.0,30.17,Camden,New South Wales
Ellis Lane,,0,859.0,6.12,Camden,New South Wales
Currans Hill,0.57,11,5302.0,26.26,Camden,New South Wales
Elderslie,,0,150.0,18.18,Southern Midlands,Tasmania
Narellan,0.43,7,3612.0,27.52,Camden,New South Wales
Harrington Park,0.45,17,10657.0,11.7,Camden,New South Wales
Mount Annan,0.36,14,11700.0,16.73,Camden,New South Wales
Spring Farm,0.69,26,4302.0,20.27,Camden,New South Wales
Bradbury,0.92,35,8804.0,27.43,Campbelltown,New South Wales
Wedderburn,,0,935.0,8.01,Loddon,Victoria
Campbelltown,1.72,130,12571.0,41.86,Campbelltown,New South Wales
Woodbine,0.83,8,2738.0,21.59,Campbelltown,New South Wales
Claymore,0.83,11,2649.0,68.94,Campbelltown,New South Wales
Eagle Vale,0.81,16,5785.0,24.53,Campbelltown,New South Wales
Raby,0.44,9,5945.0,17.75,Campbelltown,New South Wales
Leumeah,0.87,35,9835.0,34.0,Campbelltown,New South Wales
Minto Heights,,0,385.0,12.38,Campbelltown,New South Wales
Minto,1.12,55,12551.0,33.33,Campbelltown,New South Wales
St Andrews,0.46,9,5731.0,20.8,Campbelltown,New South Wales
Rosemeadow,0.86,26,7858.0,30.01,Campbelltown,New South Wales
Glen Alpine,0.21,3,4561.0,5.65,Campbelltown,New South Wales
Denham Court,0.89,33,1983.0,14.44,Campbelltown,New South Wales
Bardia,2.4,41,1604.0,29.14,Campbelltown,New South Wales
Glenfield,1.14,42,9635.0,27.95,Campbelltown,New South Wales
Ingleburn,0.91,55,15039.0,28.91,Campbelltown,New South Wales
Macquarie Fields,0.87,45,13718.0,37.38,Campbelltown,New South Wales
Bargo,0.29,5,4394.0,15.72,Wollondilly,New South Wales
Douglas Park,0.2,1,1354.0,8.16,Wollondilly,New South Wales
Appin,0.59,6,2624.0,13.46,Wollondilly,New South Wales
Picton,0.66,14,4819.0,17.32,Wollondilly,New South Wales
Tahmoor,1.32,43,5067.0,26.71,Wollondilly,New South Wales
Buxton,0.53,4,2034.0,10.56,Wollondilly,New South Wales
The Oaks,0.59,6,2523.0,14.63,Wollondilly,New South Wales
Oakdale,0.22,2,1849.0,13.74,Wollondilly,New South Wales
Blackheath,0.43,13,4401.0,16.37,Blue Mountains,New South Wales
Megalong Valley,,0,149.0,8.14,Blue Mountains,New South Wales
Blaxland,0.14,4,7447.0,15.97,Blue Mountains,New South Wales
Warrimoo,0.21,2,2450.0,10.0,Blue Mountains,New South Wales
Lapstone,0.28,1,961.0,12.28,Blue Mountains,New South Wales
Katoomba,0.59,29,7960.0,25.05,Blue Mountains,New South Wales
Leura,0.55,15,4648.0,16.56,Blue Mountains,New South Wales
Lawson,0.48,6,2619.0,17.4,Blue Mountains,New South Wales
Hazelbrook,0.43,9,4979.0,13.1,Blue Mountains,New South Wales
Linden,0.49,1,498.0,7.89,Blue Mountains,New South Wales
Springwood,0.66,26,9142.0,26.81,Logan,Queensland
Winmalee,0.42,10,6200.0,11.25,Blue Mountains,New South Wales
Wentworth Falls,0.32,10,6072.0,16.23,Blue Mountains,New South Wales
Cambridge Park,1.49,42,6729.0,28.43,Penrith,New South Wales
Emu Plains,0.45,15,8415.0,17.95,Penrith,New South Wales
Leonay,0.43,4,2517.0,9.99,Penrith,New South Wales
Glenmore Park,0.84,74,23010.0,20.68,Penrith,New South Wales
Regentville,1.3,4,811.0,19.51,Penrith,New South Wales
Jamisontown,1.32,34,5493.0,33.02,Penrith,New South Wales
South Penrith,0.83,39,11788.0,23.62,Penrith,New South Wales
Kingswood,0.39,4,2309.0,22.61,Mitcham,South Australia
Werrington,1.59,44,4024.0,42.3,Penrith,New South Wales
Mulgoa,1.16,8,1901.0,11.87,Penrith,New South Wales
Luddenham,0.88,6,1829.0,11.6,Penrith,New South Wales
Orchard Hills,0.62,4,1879.0,12.95,Penrith,New South Wales
Penrith,2.04,201,13292.0,46.28,Penrith,New South Wales
Warragamba,0.97,5,1237.0,16.73,Wollondilly,New South Wales
Silverdale,0.49,9,3675.0,6.57,Wollondilly,New South Wales
Cranebrook,0.57,32,15764.0,24.58,Penrith,New South Wales
Castlereagh,,0,1173.0,14.48,Penrith,New South Wales
Jordan Springs,1.29,50,5158.0,32.87,Penrith,New South Wales
Llandilo,,0,1633.0,20.92,Penrith,New South Wales
Richmond,1.99,339,27707.0,47.32,Yarra,Victoria
Clarendon,,0,615.0,9.61,Onkaparinga,South Australia
Windsor,1.79,83,7279.0,48.04,Stonnington,Victoria
Bligh Park,0.68,16,6360.0,33.64,Hawkesbury,New South Wales
Yarramundi,,0,840.0,2.56,Hawkesbury,New South Wales
Londonderry,1.14,15,3904.0,16.68,Penrith,New South Wales
Erskine Park,0.47,10,6434.0,15.81,Penrith,New South Wales
St Clair,0.8,13,1712.0,39.46,Charles Sturt,South Australia
Colyton,1.23,40,8432.0,26.2,Penrith,New South Wales
Oxley Park,2.24,38,3111.0,34.1,Penrith,New South Wales
St Marys,1.98,126,12199.0,43.12,Penrith,New South Wales
North St Marys,1.89,30,3926.0,42.64,Penrith,New South Wales
Auburn,1.79,242,37368.0,42.08,Cumberland,New South Wales
Berala,1.2,37,9053.0,37.1,Cumberland,New South Wales
Lidcombe,3.55,378,19624.0,35.97,Cumberland,New South Wales
Regents Park,0.88,34,10963.0,25.22,Logan,Queensland
Newington,1.88,39,5805.0,28.71,Parramatta,New South Wales
Wentworth Point,4.12,341,7001.0,50.92,Parramatta,New South Wales
Sydney Olympic Park,5.25,116,1740.0,51.69,Parramatta,New South Wales
Ermington,1.18,60,10739.0,35.68,Parramatta,New South Wales
Rydalmere,1.3,38,6640.0,34.97,Parramatta,New South Wales
Oatlands,0.64,13,5659.0,22.46,Parramatta,New South Wales
Dundas Valley,0.65,15,5408.0,32.72,Parramatta,New South Wales
Carlingford,1.53,166,24392.0,25.54,Parramatta,New South Wales
Chester Hill,0.69,35,12816.0,34.47,Canterbury-Bankstown,New South Wales
Sefton,0.77,17,5811.0,28.63,Canterbury-Bankstown,New South Wales
Fairfield,1.34,94,18080.0,49.8,Fairfield,New South Wales
Granville,1.75,123,15332.0,44.98,Cumberland,New South Wales
Clyde,1.84,123,2115.0,20.08,Casey,Victoria
Guildford,1.14,99,22329.0,38.65,Cumberland,New South Wales
South Granville,0.83,18,5497.0,40.98,Cumberland,New South Wales
Guildford West,1.57,30,4915.0,24.85,Cumberland,New South Wales
Merrylands West,1.51,41,6589.0,38.14,Cumberland,New South Wales
Greystanes,0.91,76,22803.0,16.79,Cumberland,New South Wales
Merrylands,1.46,193,29647.0,40.31,Cumberland,New South Wales
Holroyd,0.63,3,1275.0,46.75,Cumberland,New South Wales
Pemulwuy,1.66,35,5013.0,18.72,Cumberland,New South Wales
South Wentworthville,2.05,54,6205.0,30.79,Cumberland,New South Wales
North Parramatta,1.88,107,13246.0,48.16,Parramatta,New South Wales
North Rocks,1.26,44,7962.0,12.67,Parramatta,New South Wales
Northmead,1.5,75,11206.0,33.07,Parramatta,New South Wales
Constitution Hill,1.53,24,3966.0,34.65,Parramatta,New South Wales
Winston Hills,0.41,18,11666.0,12.03,Parramatta,New South Wales
Pendle Hill,1.83,55,7247.0,41.49,Cumberland,New South Wales
Girraween,1.92,42,5589.0,28.69,Cumberland,New South Wales
Wentworthville,2.49,147,11315.0,40.78,Cumberland,New South Wales
Westmead,2.78,213,16306.0,58.04,Parramatta,New South Wales
Parramatta,3.46,532,25793.0,59.44,Parramatta,New South Wales
Rosehill,3.2,74,3809.0,51.59,Parramatta,New South Wales
Harris Park,3.61,86,5798.0,61.39,Parramatta,New South Wales
Pennant Hills,0.67,20,7285.0,19.02,Hornsby,New South Wales
Cheltenham,0.96,110,22297.0,22.66,Kingston,Victoria
North Epping,0.44,7,4528.0,11.66,Hornsby,New South Wales
Gladesville,1.93,119,11826.0,32.73,Ryde,New South Wales
Huntleys Point,,0,145.0,17.07,Hunters Hill,New South Wales
Hunters Hill,1.15,39,9529.0,19.92,Hunters Hill,New South Wales
Woolwich,1.19,4,819.0,18.33,Hunters Hill,New South Wales
Macquarie Park,2.93,249,8140.0,59.28,Ryde,New South Wales
Marsfield,1.62,90,13295.0,37.11,Ryde,New South Wales
North Ryde,1.52,90,10859.0,21.92,Ryde,New South Wales
East Ryde,1.22,11,2453.0,9.83,Ryde,New South Wales
West Ryde,1.69,103,13397.0,40.98,Ryde,New South Wales
Meadowbank,2.2,75,4413.0,54.86,Ryde,New South Wales
Putney,0.79,12,4101.0,13.69,Ryde,New South Wales
Denistone,0.51,7,3748.0,16.32,Ryde,New South Wales
Eastwood,1.45,113,17868.0,31.99,Ryde,New South Wales
Ryde,2.21,345,26500.0,37.47,Ryde,New South Wales
Ashcroft,0.53,7,3582.0,43.19,Liverpool,New South Wales
Busby,1.32,20,4284.0,40.67,Liverpool,New South Wales
Miller,0.5,7,3242.0,51.53,Liverpool,New South Wales
Austral,2.19,134,3026.0,25.72,Liverpool,New South Wales
Greendale,0.4,1,605.0,1.3,Moorabool,Victoria
Badgerys Creek,,0,226.0,34.38,Liverpool,New South Wales
Cecil Hills,0.61,12,7016.0,12.92,Liverpool,New South Wales
Green Valley,0.57,22,12519.0,24.15,Liverpool,New South Wales
Hinchinbrook,0.42,14,11227.0,19.45,Liverpool,New South Wales
Hoxton Park,0.29,4,4354.0,21.09,Liverpool,New South Wales
Carnes Hill,0.33,3,2044.0,11.68,Liverpool,New South Wales
Horningsea Park,0.47,5,3732.0,18.59,Liverpool,New South Wales
West Hoxton,0.54,15,10013.0,14.25,Liverpool,New South Wales
Middleton Grange,0.77,18,5176.0,22.29,Liverpool,New South Wales
Cobbitty,1.74,35,2066.0,13.92,Camden,New South Wales
Bringelly,0.5,4,2510.0,18.19,Camden,New South Wales
Gledswood Hills,,33,21.0,,Camden,New South Wales
Gregory Hills,1.18,52,4984.0,19.15,Camden,New South Wales
Leppington,1.27,54,3497.0,24.67,Camden,New South Wales
Catherine Field,0.95,18,1652.0,12.05,Camden,New South Wales
Oran Park,1.86,123,4765.0,28.21,Camden,New South Wales
Bonnyrigg Heights,0.67,14,7304.0,15.9,Fairfield,New South Wales
Bonnyrigg,0.32,11,8667.0,39.9,Fairfield,New South Wales
Bossley Park,0.65,31,14585.0,23.55,Fairfield,New South Wales
Abbotsbury,0.3,4,4248.0,7.77,Fairfield,New South Wales
Cabramatta,0.74,56,21782.0,43.06,Fairfield,New South Wales
Lansvale,0.93,8,2569.0,19.29,Fairfield,New South Wales
Cabramatta West,0.87,20,7222.0,33.9,Fairfield,New South Wales
Mount Pritchard,0.91,32,9955.0,27.84,Fairfield,New South Wales
Canley Vale,0.81,28,10209.0,36.12,Fairfield,New South Wales
Canley Heights,0.88,33,10974.0,32.46,Fairfield,New South Wales
Edensor Park,0.75,23,9775.0,21.81,Fairfield,New South Wales
Greenfield Park,0.59,9,5092.0,21.77,Fairfield,New South Wales
Prairiewood,0.48,6,3242.0,26.91,Fairfield,New South Wales
Horsley Park,0.58,4,1833.0,16.03,Fairfield,New South Wales
Kemps Creek,0.84,7,2269.0,24.6,Penrith,New South Wales
Smithfield,0.8,37,11971.0,35.18,Fairfield,New South Wales
Wetherill Park,0.97,20,6134.0,19.29,Fairfield,New South Wales
St Johns Park,0.64,12,6122.0,15.86,Fairfield,New South Wales
Wakeley,0.52,8,4744.0,19.01,Fairfield,New South Wales
Casula,0.63,36,15664.0,25.74,Liverpool,New South Wales
Chipping Norton,0.69,23,9007.0,16.68,Liverpool,New South Wales
Moorebank,1.31,53,9748.0,16.44,Liverpool,New South Wales
Holsworthy,1.7,29,5476.0,29.51,Campbelltown,New South Wales
Wattle Grove,0.67,20,8958.0,27.34,Liverpool,New South Wales
Lurnea,1.01,35,9314.0,34.13,Liverpool,New South Wales
Cartwright,0.61,7,2375.0,46.58,Liverpool,New South Wales
Warwick Farm,1.53,51,5886.0,54.75,Liverpool,New South Wales
Edmondson Park,1.6,85,2272.0,21.9,Liverpool,New South Wales
Liverpool,2.15,303,27087.0,47.2,Liverpool,New South Wales
Prestons,0.7,33,15310.0,16.02,Liverpool,New South Wales
Gymea,1.2,44,7587.0,28.45,Sutherland Shire,New South Wales
Grays Point,0.58,6,3123.0,5.09,Sutherland Shire,New South Wales
Miranda,1.18,100,15284.0,29.76,Sutherland Shire,New South Wales
Yowie Bay,0.53,6,3072.0,8.03,Sutherland Shire,New South Wales
Sylvania,0.84,38,10480.0,19.45,Sutherland Shire,New South Wales
Taren Point,0.54,5,1733.0,16.86,Sutherland Shire,New South Wales
Caringbah,1.23,78,11666.0,33.52,Sutherland Shire,New South Wales
Caringbah South,0.42,22,12241.0,10.12,Sutherland Shire,New South Wales
Cronulla,1.79,183,18070.0,34.66,Sutherland Shire,New South Wales
Kurnell,1.22,11,2275.0,13.19,Sutherland Shire,New South Wales
Bundeena,0.73,7,1919.0,11.48,Sutherland Shire,New South Wales
Port Hacking,0.74,3,1093.0,5.6,Sutherland Shire,New South Wales
Dolans Bay,,0,596.0,5.61,Sutherland Shire,New South Wales
Woolooware,1.48,39,3967.0,17.86,Sutherland Shire,New South Wales
Burraneer,0.36,5,3586.0,8.69,Sutherland Shire,New South Wales
Heathcote,0.21,5,6012.0,13.04,Sutherland Shire,New South Wales
Waterfall,,0,495.0,9.55,Sutherland Shire,New South Wales
Illawong,0.32,8,7275.0,7.51,Sutherland Shire,New South Wales
Alfords Point,0.2,2,3107.0,4.57,Sutherland Shire,New South Wales
Menai,0.41,15,10302.0,16.61,Sutherland Shire,New South Wales
Lucas Heights,,0,,,Sutherland Shire,New South Wales
Woronora,0.26,2,2192.0,9.87,Sutherland Shire,New South Wales
Oyster Bay,0.16,3,5490.0,7.38,Sutherland Shire,New South Wales
Como,0.92,73,14136.0,35.29,South Perth,Western Australia
Jannali,0.84,23,6189.0,24.3,Sutherland Shire,New South Wales
Royal National Park,,0,29.0,33.33,Sutherland Shire,New South Wales
Sutherland,1.3,79,10812.0,38.47,Sutherland Shire,New South Wales
Kirrawee,1.18,58,9282.0,22.61,Sutherland Shire,New South Wales
Engadine,0.24,16,17376.0,12.15,Sutherland Shire,New South Wales
