,name,region,state
661,Winmalee,Blue Mountains,New South Wales
662,Wentworth Falls,Blue Mountains,New South Wales
663,Cambridge Park,Penrith,New South Wales
664,Emu Plains,Penrith,New South Wales
665,Leonay,Penrith,New South Wales
666,Glenmore Park,Penrith,New South Wales
667,Regentville,Penrith,New South Wales
668,Jamisontown,Penrith,New South Wales
669,South Penrith,Penrith,New South Wales
670,Kingswood,Mitcham,South Australia
671,Werrington,Penrith,New South Wales
672,Mulgoa,Penrith,New South Wales
673,Luddenham,Penrith,New South Wales
674,Orchard Hills,Penrith,New South Wales
675,Penrith,Penrith,New South Wales
676,Warragamba,Wollondilly,New South Wales
677,Silverdale,Wollondilly,New South Wales
678,Cranebrook,Penrith,New South Wales
679,Castlereagh,Penrith,New South Wales
680,Jordan Springs,Penrith,New South Wales
681,Llandilo,Penrith,New South Wales
682,Richmond,Yarra,Victoria
683,Clarendon,Onkaparinga,South Australia
684,Windsor,Stonnington,Victoria
685,Bligh Park,Hawkesbury,New South Wales
686,Yarramundi,Hawkesbury,New South Wales
687,Londonderry,Penrith,New South Wales
688,Erskine Park,Penrith,New South Wales
689,St Clair,Charles Sturt,South Australia
690,Colyton,Penrith,New South Wales
691,Oxley Park,Penrith,New South Wales
692,St Marys,Penrith,New South Wales
693,North St Marys,Penrith,New South Wales
694,Auburn,Cumberland,New South Wales
695,Berala,Cumberland,New South Wales
696,Lidcombe,Cumberland,New South Wales
697,Regents Park,Logan,Queensland
698,Newington,Parramatta,New South Wales
699,Wentworth Point,Parramatta,New South Wales
700,Sydney Olympic Park,Parramatta,New South Wales
701,Ermington,Parramatta,New South Wales
702,Rydalmere,Parramatta,New South Wales
703,Oatlands,Parramatta,New South Wales
704,Dundas Valley,Parramatta,New South Wales
705,Carlingford,Parramatta,New South Wales
706,Chester Hill,Canterbury-Bankstown,New South Wales
707,Sefton,Canterbury-Bankstown,New South Wales
708,Fairfield,Fairfield,New South Wales
709,Granville,Cumberland,New South Wales
710,Clyde,Casey,Victoria
711,Guildford,Cumberland,New South Wales
712,South Granville,Cumberland,New South Wales
713,Guildford West,Cumberland,New South Wales
714,Merrylands West,Cumberland,New South Wales
715,Greystanes,Cumberland,New South Wales
716,Merrylands,Cumberland,New South Wales
717,Holroyd,Cumberland,New South Wales
718,Pemulwuy,Cumberland,New South Wales
719,South Wentworthville,Cumberland,New South Wales
720,North Parramatta,Parramatta,New South Wales
721,North Rocks,Parramatta,New South Wales
722,Northmead,Parramatta,New South Wales
723,Constitution Hill,Parramatta,New South Wales
724,Winston Hills,Parramatta,New South Wales
725,Pendle Hill,Cumberland,New South Wales
726,Girraween,Cumberland,New South Wales
727,Wentworthville,Cumberland,New South Wales
728,Westmead,Parramatta,New South Wales
729,Parramatta,Parramatta,New South Wales
730,Rosehill,Parramatta,New South Wales
731,Harris Park,Parramatta,New South Wales
732,Pennant Hills,Hornsby,New South Wales
733,Cheltenham,Kingston,Victoria
734,North Epping,Hornsby,New South Wales
735,Gladesville,Ryde,New South Wales
736,Huntleys Point,Hunters Hill,New South Wales
737,Hunters Hill,Hunters Hill,New South Wales
738,Woolwich,Hunters Hill,New South Wales
739,Macquarie Park,Ryde,New South Wales
740,Marsfield,Ryde,New South Wales
741,North Ryde,Ryde,New South Wales
742,East Ryde,Ryde,New South Wales
743,West Ryde,Ryde,New South Wales
744,Meadowbank,Ryde,New South Wales
745,Putney,Ryde,New South Wales
746,Denistone,Ryde,New South Wales
747,Eastwood,Ryde,New South Wales
748,Ryde,Ryde,New South Wales
749,Ashcroft,Liverpool,New South Wales
750,Busby,Liverpool,New South Wales
751,Miller,Liverpool,New South Wales
752,Austral,Liverpool,New South Wales
753,Greendale,Moorabool,Victoria
754,Badgerys Creek,Liverpool,New South Wales
755,Cecil Hills,Liverpool,New South Wales
756,Green Valley,Liverpool,New South Wales
757,Hinchinbrook,Liverpool,New South Wales
758,Hoxton Park,Liverpool,New South Wales
759,Carnes Hill,Liverpool,New South Wales
760,Horningsea Park,Liverpool,New South Wales
761,West Hoxton,Liverpool,New South Wales
762,Middleton Grange,Liverpool,New South Wales
763,Cobbitty,Camden,New South Wales
764,Bringelly,Camden,New South Wales
765,Gledswood Hills,Camden,New South Wales
766,Gregory Hills,Camden,New South Wales
767,Leppington,Camden,New South Wales
768,Catherine Field,Camden,New South Wales
769,Oran Park,Camden,New South Wales
770,Bonnyrigg Heights,Fairfield,New South Wales
771,Bonnyrigg,Fairfield,New South Wales
772,Bossley Park,Fairfield,New South Wales
773,Abbotsbury,Fairfield,New South Wales
774,Cabramatta,Fairfield,New South Wales
775,Lansvale,Fairfield,New South Wales
776,Cabramatta West,Fairfield,New South Wales
777,Mount Pritchard,Fairfield,New South Wales
778,Canley Vale,Fairfield,New South Wales
779,Canley Heights,Fairfield,New South Wales
780,Edensor Park,Fairfield,New South Wales
781,Greenfield Park,Fairfield,New South Wales
782,Prairiewood,Fairfield,New South Wales
783,Horsley Park,Fairfield,New South Wales
784,Kemps Creek,Penrith,New South Wales
785,Smithfield,Fairfield,New South Wales
786,Wetherill Park,Fairfield,New South Wales
787,St Johns Park,Fairfield,New South Wales
788,Wakeley,Fairfield,New South Wales
789,Casula,Liverpool,New South Wales
790,Chipping Norton,Liverpool,New South Wales
791,Moorebank,Liverpool,New South Wales
792,Holsworthy,Campbelltown,New South Wales
793,Wattle Grove,Liverpool,New South Wales
794,Lurnea,Liverpool,New South Wales
795,Cartwright,Liverpool,New South Wales
796,Warwick Farm,Liverpool,New South Wales
797,Edmondson Park,Liverpool,New South Wales
798,Liverpool,Liverpool,New South Wales
799,Prestons,Liverpool,New South Wales
800,Gymea,Sutherland Shire,New South Wales
801,Grays Point,Sutherland Shire,New South Wales
802,Miranda,Sutherland Shire,New South Wales
803,Yowie Bay,Sutherland Shire,New South Wales
804,Sylvania,Sutherland Shire,New South Wales
805,Taren Point,Sutherland Shire,New South Wales
806,Caringbah,Sutherland Shire,New South Wales
807,Caringbah South,Sutherland Shire,New South Wales
808,Cronulla,Sutherland Shire,New South Wales
809,Kurnell,Sutherland Shire,New South Wales
810,Bundeena,Sutherland Shire,New South Wales
811,Port Hacking,Sutherland Shire,New South Wales
812,Dolans Bay,Sutherland Shire,New South Wales
813,Woolooware,Sutherland Shire,New South Wales
814,Burraneer,Sutherland Shire,New South Wales
815,Heathcote,Sutherland Shire,New South Wales
816,Waterfall,Sutherland Shire,New South Wales
817,Illawong,Sutherland Shire,New South Wales
818,Alfords Point,Sutherland Shire,New South Wales
819,Menai,Sutherland Shire,New South Wales
820,Lucas Heights,Sutherland Shire,New South Wales
821,Woronora,Sutherland Shire,New South Wales
822,Oyster Bay,Sutherland Shire,New South Wales
823,Como,South Perth,Western Australia
824,Jannali,Sutherland Shire,New South Wales
825,Royal National Park,Sutherland Shire,New South Wales
826,Sutherland,Sutherland Shire,New South Wales
827,Kirrawee,Sutherland Shire,New South Wales
828,Engadine,Sutherland Shire,New South Wales
829,Loftus,Sutherland Shire,New South Wales
830,Yarrawarrah,Sutherland Shire,New South Wales
831,Woronora Heights,Sutherland Shire,New South Wales
832,Alfredton,Ballarat,Victoria
833,Ballarat,Ballarat,Victoria
834,Buninyong,Ballarat,Victoria
835,Delacombe,Ballarat,Victoria
836,Smythes Creek,Golden Plains,Victoria
837,Wendouree,Ballarat,Victoria
838,Miners Rest,Ballarat,Victoria
839,Ballarat East,Ballarat,Victoria
840,Warrenheip,Ballarat,Victoria
841,Ballarat North,Ballarat,Victoria
842,Invermay,Launceston,Tasmania
843,Canadian,Ballarat,Victoria
844,Mount Clear,Ballarat,Victoria
845,Sebastopol,Ballarat,Victoria
846,Redan,Ballarat,Victoria
847,Creswick,Hepburn,Victoria
848,Clunes,Hepburn,Victoria
849,Daylesford,Hepburn,Victoria
850,Avoca,Bundaberg,Queensland
851,Beaufort,Pyrenees,Victoria
852,Bendigo,Greater Bendigo,Victoria
853,California Gully,Greater Bendigo,Victoria
854,Eaglehawk,Greater Bendigo,Victoria
855,East Bendigo,Greater Bendigo,Victoria
856,Kennington,Greater Bendigo,Victoria
857,Flora Hill,Greater Bendigo,Victoria
858,Spring Gully,Greater Bendigo,Victoria
859,Kangaroo Flat,Greater Bendigo,Victoria
860,Golden Square,Greater Bendigo,Victoria
861,Maiden Gully,Greater Bendigo,Victoria
862,Strathfieldsaye,Greater Bendigo,Victoria
863,White Hills,Greater Bendigo,Victoria
864,Ascot,Belmont,Western Australia
865,Castlemaine,Mount Alexander,Victoria
866,Kyneton,Macedon Ranges,Victoria
867,Woodend,Macedon Ranges,Victoria
868,Bannockburn,Golden Plains,Victoria
869,Winchelsea,Surf Coast,Victoria
870,Geelong,Greater Geelong,Victoria
871,Geelong West,Greater Geelong,Victoria
872,Hamlyn Heights,Greater Geelong,Victoria
873,Highton,Greater Geelong,Victoria
874,Lara,Greater Geelong,Victoria
875,Leopold,Greater Geelong,Victoria
876,Newcomb,Greater Geelong,Victoria
877,Moolap,Greater Geelong,Victoria
878,North Geelong,Greater Geelong,Victoria
879,Bell Park,Greater Geelong,Victoria
880,Charlemont,Greater Geelong,Victoria
881,Corio,Greater Geelong,Victoria
882,Lovely Banks,Greater Geelong,Victoria
883,Grovedale,Greater Geelong,Victoria
884,Mount Duneed,Greater Geelong,Victoria
885,Norlane,Greater Geelong,Victoria
886,Clifton Springs,Greater Geelong,Victoria
887,Lorne,Surf Coast,Victoria
888,Anglesea,Surf Coast,Victoria
889,Portarlington,Greater Geelong,Victoria
890,Point Lonsdale,Greater Geelong,Victoria
891,Queenscliff,Northern Beaches,New South Wales
892,Torquay,Surf Coast,Victoria
893,Barwon Heads,Greater Geelong,Victoria
894,Armstrong Creek,Greater Geelong,Victoria
895,Ocean Grove,Greater Geelong,Victoria
896,Alexandra,Murrindindi,Victoria
897,Euroa,Strathbogie,Victoria
898,Kilmore,Mitchell,Victoria
899,Broadford,Mitchell,Victoria
900,Nagambie,Strathbogie,Victoria
901,Seymour,Mitchell,Victoria
902,Yea,Murrindindi,Victoria
903,Benalla,Benalla,Victoria
904,Rutherglen,Indigo,Victoria
905,Wangaratta,Wangaratta,Victoria
906,Beechworth,Indigo,Victoria
907,Bright,Alpine,Victoria
908,Mount Beauty,Alpine,Victoria
909,Chiltern,Indigo,Victoria
910,Indigo Valley,Indigo,Victoria
911,Myrtleford,Alpine,Victoria
912,Towong,Towong,Victoria
913,West Wodonga,Wodonga,Victoria
914,Yackandandah,Indigo,Victoria
915,Baranduda,Wodonga,Victoria
916,Leneva,Wodonga,Victoria
917,Wodonga,Wodonga,Victoria
918,Drouin,Baw Baw,Victoria
919,Warragul,Baw Baw,Victoria
920,Bairnsdale,East Gippsland,Victoria
921,Bruthen,East Gippsland,Victoria
922,Omeo,East Gippsland,Victoria
923,Lake King,Lake Grace,Western Australia
924,Lakes Entrance,East Gippsland,Victoria
925,Orbost,East Gippsland,Victoria
926,Paynesville,East Gippsland,Victoria
927,Foster,South Gippsland,Victoria
928,French Island,Vic,Victoria
929,Korumburra,South Gippsland,Victoria
930,Leongatha,South Gippsland,Victoria
931,Wilsons Promontory,South Gippsland,Victoria
932,Wonthaggi,Bass Coast,Victoria
933,Inverloch,Bass Coast,Victoria
934,Churchill,Latrobe,Victoria
935,Moe,Latrobe,Victoria
936,Newborough,Latrobe,Victoria
937,Morwell,Latrobe,Victoria
938,Yallourn North,Latrobe,Victoria
939,Glengarry,Wellington,Victoria
940,Traralgon,Latrobe,Victoria
941,Longford,Northern Midlands,Tasmania
942,Loch Sport,Wellington,Victoria
943,Maffra,Wellington,Victoria
944,Rosedale,Wellington,Victoria
945,Sale,Wellington,Victoria
946,Yarram,Wellington,Victoria
947,Brunswick East,Moreland,Victoria
948,Brunswick West,Moreland,Victoria
949,Pascoe Vale South,Moreland,Victoria
950,Brunswick,Moreland,Victoria
951,Coburg,Moreland,Victoria
952,Alphington,Yarra,Victoria
953,Thornbury,Darebin,Victoria
954,Northcote,Darebin,Victoria
955,Ascot Vale,Moonee Valley,Victoria
956,Flemington,Melbourne,Victoria
957,Moonee Ponds,Moonee Valley,Victoria
958,Aberfeldie,Moonee Valley,Victoria
959,Essendon,Moonee Valley,Victoria
960,Docklands,Melbourne,Victoria
961,East Melbourne,Melbourne,Victoria
962,Parkville,Melbourne,Victoria
963,South Yarra,Stonnington,Victoria
964,West Melbourne,Melbourne,Victoria
965,North Melbourne,Melbourne,Victoria
966,South Wharf,Melbourne,Victoria
967,Southbank,Melbourne,Victoria
968,Albert Park,Port Phillip,Victoria
969,Elwood,Port Phillip,Victoria
970,Port Melbourne,Melbourne,Victoria
971,St Kilda East,Port Phillip,Victoria
972,South Melbourne,Port Phillip,Victoria
973,St Kilda,Port Phillip,Victoria
974,Armadale,Armadale,Western Australia
975,Prahran,Stonnington,Victoria
976,Toorak,Stonnington,Victoria
977,Carlton North,Yarra,Victoria
978,Princes Hill,Yarra,Victoria
979,Collingwood,Yarra,Victoria
980,Fitzroy,Yarra,Victoria
981,Fitzroy North,Yarra,Victoria
982,Clifton Hill,Yarra,Victoria
983,Balwyn,Boroondara,Victoria
984,Balwyn North,Boroondara,Victoria
985,Camberwell,Boroondara,Victoria
986,Glen Iris,Boroondara,Victoria
987,Hawthorn East,Boroondara,Victoria
988,Kew East,Boroondara,Victoria
989,Hawthorn,Boroondara,Victoria
990,Kew,Boroondara,Victoria
991,Bulleen,Manningham,Victoria
992,Doncaster,Manningham,Victoria
993,Templestowe,Manningham,Victoria
994,Templestowe Lower,Manningham,Victoria
995,Doncaster East,Manningham,Victoria
996,Blackburn,Whitehorse,Victoria
997,Blackburn South,Whitehorse,Victoria
998,Box Hill North,Whitehorse,Victoria
999,Burwood East,Whitehorse,Victoria
1000,Mont Albert,Whitehorse,Victoria
1001,Beaumaris,Bayside,Victoria
1002,Brighton East,Bayside,Victoria
1003,Hampton,Bayside,Victoria
1004,Sandringham,Bayside,Victoria
1005,Black Rock,Bayside,Victoria
1006,Bentleigh,Glen Eira,Victoria
1007,McKinnon,Glen Eira,Victoria
1008,Carnegie,Glen Eira,Victoria
1009,Caulfield,Glen Eira,Victoria
1010,Elsternwick,Glen Eira,Victoria
1011,Hughesdale,Monash,Victoria
1012,Murrumbeena,Glen Eira,Victoria
1013,Ormond,Glen Eira,Victoria
1014,Glen Huntly,Glen Eira,Victoria
1015,Bentleigh East,Glen Eira,Victoria
1016,Aspendale Gardens,Kingston,Victoria
1017,Waterways,Kingston,Victoria
1018,Braeside,Kingston,Victoria
1019,Carrum,Kingston,Victoria
1020,Patterson Lakes,Kingston,Victoria
1021,Chelsea,Kingston,Victoria
1022,Bonbeach,Kingston,Victoria
1023,Chelsea Heights,Kingston,Victoria
1024,Edithvale,Kingston,Victoria
1025,Aspendale,Kingston,Victoria
1026,Mentone,Kingston,Victoria
1027,Moorabbin,Kingston,Victoria
1028,Heatherton,Kingston,Victoria
1029,Moorabbin Airport,Kingston,Victoria
1030,Mordialloc,Kingston,Victoria
1031,Parkdale,Kingston,Victoria
1032,Malvern,Stonnington,Victoria
1033,Malvern East,Stonnington,Victoria
1034,Bundoora,Whittlesea,Victoria
1035,Greensborough,Banyule,Victoria
1036,Heidelberg,Banyule,Victoria
1037,Rosanna,Banyule,Victoria
1038,Heidelberg West,Banyule,Victoria
1039,Ivanhoe,Banyule,Victoria
1040,Ivanhoe East,Banyule,Victoria
1041,Eaglemont,Banyule,Victoria
1042,Montmorency,Banyule,Victoria
1043,Briar Hill,Banyule,Victoria
1044,Viewbank,Banyule,Victoria
1045,Yallambie,Banyule,Victoria
1046,Watsonia,Banyule,Victoria
1047,Kingsbury,Darebin,Victoria
1048,Preston,Darebin,Victoria
1049,Reservoir,Darebin,Victoria
1050,Eltham,Nillumbik,Victoria
1051,Hurstbridge,Nillumbik,Victoria
1052,Panton Hill,Nillumbik,Victoria
1053,Plenty,Nillumbik,Victoria
1054,Yarrambat,Nillumbik,Victoria
1055,Research,Nillumbik,Victoria
1056,North Warrandyte,Nillumbik,Victoria
1057,Wattle Glen,Nillumbik,Victoria
1058,Diamond Creek,Nillumbik,Victoria
1059,Mill Park,Whittlesea,Victoria
1060,Thomastown,Whittlesea,Victoria
1061,Wallan,Mitchell,Victoria
1062,Whittlesea,Whittlesea,Victoria
1063,Epping,Whittlesea,Victoria
1064,South Morang,Whittlesea,Victoria
1065,Wollert,Whittlesea,Victoria
1066,Doreen,Nillumbik,Victoria
1067,Lalor,Whittlesea,Victoria
1068,Mernda,Whittlesea,Victoria
1069,Airport West,Moonee Valley,Victoria
1070,Keilor,Brimbank,Victoria
1071,Niddrie,Moonee Valley,Victoria
1072,Essendon West,Moonee Valley,Victoria
1073,Strathmore,Moonee Valley,Victoria
1074,Avondale Heights,Moonee Valley,Victoria
1075,Keilor East,Moonee Valley,Victoria
1076,Gisborne,Macedon Ranges,Victoria
1077,Macedon,Macedon Ranges,Victoria
1078,Riddells Creek,Macedon Ranges,Victoria
1079,Romsey,Macedon Ranges,Victoria
1080,Coburg North,Moreland,Victoria
1081,Fawkner,Moreland,Victoria
1082,Gowanbrae,Moreland,Victoria
1083,Hadfield,Moreland,Victoria
1084,Glenroy,Moreland,Victoria
1085,Oak Park,Moreland,Victoria
1086,Pascoe Vale,Moreland,Victoria
1087,Sunbury,Hume,Victoria
1088,Diggers Rest,Melton,Victoria
1089,Broadmeadows,Hume,Victoria
1090,Campbellfield,Hume,Victoria
1091,Coolaroo,Hume,Victoria
1092,Gladstone Park,Hume,Victoria
1093,Westmeadows,Hume,Victoria
1094,Greenvale,Hume,Victoria
1095,Bulla,Hume,Victoria
1096,Meadow Heights,Hume,Victoria
1097,Melbourne Airport,Hume,Victoria
1098,Tullamarine,Hume,Victoria
1099,Craigieburn,Hume,Victoria
1100,Mickleham,Hume,Victoria
1101,Yuroke,Hume,Victoria
1102,Somerton,Tamworth Regional,New South Wales
1103,Roxburgh Park,Hume,Victoria
1104,Bayswater,Bayswater,Western Australia
1105,Knoxfield,Knox,Victoria
1106,Scoresby,Knox,Victoria
1107,Lysterfield,Yarra Ranges,Victoria
1108,Rowville,Knox,Victoria
1109,Wantirna,Knox,Victoria
1110,Wantirna South,Knox,Victoria
1111,Boronia,Knox,Victoria
1112,Ferntree Gully,Knox,Victoria
1113,Upper Ferntree Gully,Knox,Victoria
1114,The Basin,Knox,Victoria
1115,Donvale,Manningham,Victoria
1116,Park Orchards,Manningham,Victoria
1117,Warrandyte,Manningham,Victoria
1118,Wonga Park,Manningham,Victoria
1119,Bayswater North,Maroondah,Victoria
1120,Croydon Hills,Maroondah,Victoria
1121,Warranwood,Maroondah,Victoria
1122,Ringwood,Maroondah,Victoria
1123,Ringwood East,Maroondah,Victoria
1124,Ringwood North,Maroondah,Victoria
1125,Croydon South,Maroondah,Victoria
1126,Forest Hill,Whitehorse,Victoria
1127,Nunawading,Whitehorse,Victoria
1128,Vermont,Whitehorse,Victoria
1129,Vermont South,Whitehorse,Victoria
1130,Belgrave,Yarra Ranges,Victoria
1131,Selby,Yarra Ranges,Victoria
1132,Chirnside Park,Yarra Ranges,Victoria
1133,Healesville,Yarra Ranges,Victoria
1134,Yarra Glen,Yarra Ranges,Victoria
1135,Kilsyth,Yarra Ranges,Victoria
1136,Lilydale,Yarra Ranges,Victoria
1137,Coldstream,Yarra Ranges,Victoria
1138,Monbulk,Yarra Ranges,Victoria
1139,Silvan,Yarra Ranges,Victoria
1140,Montrose,Yarra Ranges,Victoria
1141,Mooroolbark,Yarra Ranges,Victoria
1142,Mount Dandenong,Yarra Ranges,Victoria
1143,Olinda,Yarra Ranges,Victoria
1144,Mount Evelyn,Yarra Ranges,Victoria
1145,Upwey,Yarra Ranges,Victoria
1146,Tecoma,Yarra Ranges,Victoria
1147,Seville,Yarra Ranges,Victoria
1148,Emerald,Central Highlands,Queensland
1149,Cockatoo,Cardinia,Victoria
1150,Officer,Cardinia,Victoria
1151,Bunyip,Cardinia,Victoria
1152,Garfield,Cardinia,Victoria
1153,Koo Wee Rup,Cardinia,Victoria
1154,Pakenham,Cardinia,Victoria
1155,Berwick,Casey,Victoria
1156,Doveton,Casey,Victoria
1157,Hallam,Casey,Victoria
1158,Narre Warren North,Casey,Victoria
1159,Endeavour Hills,Casey,Victoria
1160,Narre Warren,Casey,Victoria
1161,Cranbourne,Casey,Victoria
1162,Cranbourne South,Casey,Victoria
1163,Cranbourne West,Casey,Victoria
1164,Lynbrook,Casey,Victoria
1165,Lyndhurst,Greater Dandenong,Victoria
1166,Pearcedale,Casey,Victoria
1167,Tooradin,Casey,Victoria
1168,Narre Warren South,Casey,Victoria
1169,Clyde North,Casey,Victoria
1170,Cranbourne East,Casey,Victoria
1171,Cranbourne North,Casey,Victoria
1172,Hampton Park,Casey,Victoria
1173,Clarinda,Kingston,Victoria
1174,Oakleigh South,Monash,Victoria
1175,Clayton South,Kingston,Victoria
1176,Dandenong North,Greater Dandenong,Victoria
1177,Dingley Village,Kingston,Victoria
1178,Noble Park North,Greater Dandenong,Victoria
1179,Springvale,Greater Dandenong,Victoria
1180,Springvale South,Greater Dandenong,Victoria
1181,Noble Park,Greater Dandenong,Victoria
1182,Dandenong,Greater Dandenong,Victoria
1183,Keysborough,Greater Dandenong,Victoria
1184,Ashwood,Monash,Victoria
1185,Chadstone,Monash,Victoria
1186,Glen Waverley,Monash,Victoria
1187,Mount Waverley,Monash,Victoria
1188,Mulgrave,Monash,Victoria
1189,Oakleigh,Monash,Victoria
1190,Huntingdale,Gosnells,Western Australia
1191,Wheelers Hill,Monash,Victoria
1192,Notting Hill,Monash,Victoria
1193,Clayton,Monash,Victoria
1194,Ardeer,Brimbank,Victoria
1195,Albion,Brimbank,Victoria
1196,Cairnlea,Brimbank,Victoria
1197,Delahey,Brimbank,Victoria
1198,Keilor Downs,Brimbank,Victoria
1199,Sunshine,Brimbank,Victoria
1200,Sunshine North,Brimbank,Victoria
1201,Sunshine West,Brimbank,Victoria
1202,Taylors Lakes,Brimbank,Victoria
1203,Deer Park,Brimbank,Victoria
1204,Derrimut,Brimbank,Victoria
1205,Altona,Hobsons Bay,Victoria
1206,Altona Meadows,Hobsons Bay,Victoria
1207,Altona North,Hobsons Bay,Victoria
1208,Seabrook,Hobsons Bay,Victoria
1209,Williamstown,Hobsons Bay,Victoria
1210,Braybrook,Maribyrnong,Victoria
1211,Footscray,Maribyrnong,Victoria
1212,Maribyrnong,Maribyrnong,Victoria
1213,Seddon,Maribyrnong,Victoria
1214,Kingsville,Maribyrnong,Victoria
1215,West Footscray,Maribyrnong,Victoria
1216,Tottenham,Lachlan,New South Wales
1217,Yarraville,Maribyrnong,Victoria
1218,Bacchus Marsh,Moorabool,Victoria
1219,Melton West,Melton,Victoria
1220,Rockbank,Melton,Victoria
1221,Mount Cottrell,Melton,Victoria
1222,Taylors Hill,Melton,Victoria
1223,Burnside,Melton,Victoria
1224,Burnside Heights,Melton,Victoria
1225,Caroline Springs,Melton,Victoria
1226,Brookfield,Melton,Victoria
1227,Eynesbury,Melton,Victoria
1228,Exford,Melton,Victoria
1229,Hillside,Narrogin,Western Australia
1230,Kurunjang,Melton,Victoria
1231,Toolern Vale,Melton,Victoria
1232,Melton,Melton,Victoria
1233,Melton South,Melton,Victoria
1234,Hoppers Crossing,Wyndham,Victoria
1235,Laverton,Hobsons Bay,Victoria
1236,Werribee,Wyndham,Victoria
1237,Point Cook,Wyndham,Victoria
1238,Quandong,Wyndham,Victoria
1239,Tarneit,Wyndham,Victoria
1240,Truganina,Wyndham,Victoria
1241,Wyndham Vale,Wyndham,Victoria
1242,Carrum Downs,Frankston,Victoria
1243,Frankston,Frankston,Victoria
1244,Frankston North,Frankston,Victoria
1245,Frankston South,Frankston,Victoria
1246,Langwarrin,Frankston,Victoria
1247,Skye,Frankston,Victoria
1248,Sandhurst,Frankston,Victoria
1249,Dromana,Mornington Peninsula,Victoria
1250,Hastings,Mornington Peninsula,Victoria
1251,Somers,Mornington Peninsula,Victoria
1252,Mount Eliza,Mornington Peninsula,Victoria
1253,Mount Martha,Mornington Peninsula,Victoria
1254,Rosebud,Mornington Peninsula,Victoria
1255,McCrae,Mornington Peninsula,Victoria
1256,Somerville,Mornington Peninsula,Victoria
1257,Mornington,Mornington Peninsula,Victoria
1258,Ararat,Ararat,Victoria
1259,Horsham,Horsham,Victoria
1260,St Arnaud,Northern Grampians,Victoria
1261,Stawell,Northern Grampians,Victoria
1262,Irymple,Mildura,Victoria
1263,Merbein,Mildura,Victoria
1264,Red Cliffs,Mildura,Victoria
1265,Mildura,Mildura,Victoria
1266,Gannawarra,Gannawarra,Victoria
1267,Kerang,Gannawarra,Victoria
1268,Robinvale,Swan Hill,Victoria
1269,Swan Hill,Swan Hill,Victoria
1270,Echuca,Campaspe,Victoria
1271,Kyabram,Campaspe,Victoria
1272,Lockington,Campaspe,Victoria
1273,Gunbower,Campaspe,Victoria
1274,Rochester,Campaspe,Victoria
1275,Rushworth,Campaspe,Victoria
1276,Cobram,Moira,Victoria
1277,Numurkah,Moira,Victoria
1278,Yarrawonga,Moira,Victoria
1279,Mooroopna,Greater Shepparton,Victoria
1280,Shepparton,Greater Shepparton,Victoria
1281,Kialla,Greater Shepparton,Victoria
1282,Portland,Glenelg,Victoria
1283,Colac,Colac-Otway,Victoria
1284,Warrnambool,Warrnambool,Victoria
1285,Alexandra Hills,Redland,Queensland
1286,Gumdale,Brisbane,Queensland
1287,Birkdale,Redland,Queensland
1288,Capalaba,Redland,Queensland
1289,Thorneside,Redland,Queensland
1290,Wellington Point,Redland,Queensland
1291,Cleveland,Redland,Queensland
1292,Ormiston,Redland,Queensland
1293,Redland Bay,Redland,Queensland
1294,Sheldon,Redland,Queensland
1295,Mount Cotton,Redland,Queensland
1296,Thornlands,Redland,Queensland
1297,Victoria Point,Redland,Queensland
1298,North Stradbroke Island,Redland,Queensland
1299,Southern Moreton Bay Islands,Gold Coast,Queensland
1300,Lytton,Brisbane,Queensland
1301,Lota,Brisbane,Queensland
1302,Manly West,Brisbane,Queensland
1303,Murarrie,Brisbane,Queensland
1304,Tingalpa,Brisbane,Queensland
1305,Wakerley,Brisbane,Queensland
1306,Wynnum,Brisbane,Queensland
1307,Wynnum West,Brisbane,Queensland
1308,Hemmant,Brisbane,Queensland
1309,Bald Hills,Brisbane,Queensland
1310,Bridgeman Downs,Brisbane,Queensland
1311,Carseldine,Brisbane,Queensland
1312,Everton Park,Brisbane,Queensland
1313,McDowall,Brisbane,Queensland
1314,Aspley,Brisbane,Queensland
1315,Chermside,Brisbane,Queensland
1316,Chermside West,Brisbane,Queensland
1317,Geebung,Brisbane,Queensland
1318,Kedron,Brisbane,Queensland
1319,Gordon Park,Brisbane,Queensland
1320,Stafford,Brisbane,Queensland
1321,Stafford Heights,Brisbane,Queensland
1322,Wavell Heights,Brisbane,Queensland
1323,Boondall,Brisbane,Queensland
1324,Brisbane Airport,Brisbane,Queensland
1325,Pinkenba,Brisbane,Queensland
1326,Northgate,Port Adelaide Enfield,South Australia
1327,Virginia,Brisbane,Queensland
1328,Nudgee,Brisbane,Queensland
1329,Banyo,Brisbane,Queensland
1330,Nundah,Brisbane,Queensland
1331,Bracken Ridge,Brisbane,Queensland
1332,Deagon,Brisbane,Queensland
1333,Sandgate,Brisbane,Queensland
1334,Shorncliffe,Brisbane,Queensland
1335,Taigum,Brisbane,Queensland
1336,Fitzgibbon,Brisbane,Queensland
1337,Zillmere,Brisbane,Queensland
1338,Camp Hill,Brisbane,Queensland
1339,Cannon Hill,Brisbane,Queensland
1340,Carina,Brisbane,Queensland
1341,Carina Heights,Brisbane,Queensland
1342,Carindale,Brisbane,Queensland
1343,Annerley,Brisbane,Queensland
1344,Coorparoo,Brisbane,Queensland
1345,Dutton Park,Brisbane,Queensland
1346,Greenslopes,Brisbane,Queensland
